title,abstract,keywords,type,year,journal,doi
Investigation of diagnostic techniques for metal oxide surge arresters,"Gapless metal oxide surge arresters (MOSA) have been available in the market for many years since they were first introduced in the 1970's. The aim of this study is to investigate some reliable diagnostic techniques to assess the condition of a metal oxide surge arrester when subjected to severe lightning strikes in the field. A number of nondestructive and destructive diagnostic techniques for metal oxide surge arrester (MOSA) are discussed in this paper. The nondestructive techniques include the standard 1 mA reference voltage, lightning impulse discharge residual voltage and a number of modern diagnostics based on polarization methods: Return voltage and polarization/depolarization current measurements. In order to observe, analyze and correctly explain the degradation phenomena, a number of destructive techniques based on microstructure observation are also conducted. The techniques include optical microscopy, scanning electron microscopy, X-Ray diffraction and energy dispersive spectrometry. The single and multipulse currents of 8/20 mus wave shape were used to artificially degrade the MOSA. The before and after diagnostic results of the nondestructive and destructive techniques are presented and interpreted to understand the aging mechanism in MOSA. The importance of modern nondestructive electrical diagnostics based on polarization methods is validated by test results and is highlighted in detail in this paper. Finally the correlation of the results of different diagnostic techniques with each other and with the results of standard techniques is discussed",Surges;Arresters;Optical microscopy;Voltage;Lightning;Optical polarization;Degradation;Scanning electron microscopy;Measurement standards;Current measurement,ARTICLE,2005,IEEE Transactions on Dielectrics and Electrical Insulation,10.1109/TDEI.2005.1394015
Micropatterned hydrogel surfaces for controlled cell adhesion,"Spatially resolved radiation from a scanning electron microscope can be used to create micro- and nanoscopic hydrogels from poly(ethylene glycol) [PEG] with an approach similar to the electron-beam patterning of polymeric photoresists. We show that the patterned features generated by electron-beam cross-linking swell when exposed to water. The extent of swelling depends on the incident electron dose. Because of the significance of PEG in biomaterials applications, we examined the adsorption of fibronectin and laminin onto the PEG microhydrogels using immunofluorescence optical microscopy. Undetectable levels of protein are observed for low dose patterns. The amount of adsorbed protein increases with the dose and reaches a maximum at the highest doses where swelling is not observed. As part of ongoing research on patterning surfaces to control neurite growth in the context of the inflammatory environment of a spinal cord injury, we are interested in how these gel surfaces interact with macrophages. We show that the number of adhered macrophages can be also controlled by the irradiation conditions. By spatially patterning combinations of low and high swelling gels, we show that macrophage adhesion can be confined to specific locations on the surface.",Adhesives;Optical microscopy;Proteins;Spatial resolution;Scanning electron microscopy;Polymers;Resists;Microhydro power;Immune system;Biomedical optical imaging,INPROCEEDINGS,2005,"Proceedings of the IEEE 31st Annual Northeast Bioengineering Conference, 2005.",10.1109/NEBC.2005.1431899
Soft computing algorithms applied to the segmentation of nerve cell images,"Microscopic images of stained nerve cells are routinely analyzed during neuropathological research. Manual analysis relies heavily on operator knowledge, and therefore can be highly subjective. The process is also time consuming. This paper investigates the use of fuzzy C-means to automate the analysis of nerve cell images. Using fuzzy C-means clustering, nerve cells are detected in an image. The nerve cells are then classified into degrees of health based upon their physical characteristics. A fuzzy approach is taken in order to account for vagueness in the data. This ambiguity stems from both the nature of digital images and the nature of biological systems.",Image segmentation;Image analysis;Software systems;Clustering algorithms;Shape;Application software;Pattern recognition;Colored noise;Fuzzy systems;Iterative algorithms,INPROCEEDINGS,2005,"Sixth International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing and First ACIS International Workshop on Self-Assembling Wireless Network",10.1109/SNPD-SAWN.2005.73
Continuous deposition of thermally co-evaporated YBCO/CeO/sub 2//Ni coated conductors,"By using a simple single-pass reel-to-reel system, we demonstrate a simple and robust in-situ route for the continuous deposition of 1-2 m long Coated Conductors (CC) consisting of 1 /spl mu/m thick superconducting YBa/sub 2/Cu/sub 3/O/sub 7/ (YBCO) films deposited by thermal co-evaporation onto 100 nm thick CeO/sub 2/ buffered cube textured Ni tapes. The buffer layer was deposited by either e-beam or thermal evaporation using respectively ceria or metallic cerium. The structural and morphological properties of the samples were investigated by X-ray /spl thetav/-2/spl thetav/ Bragg-Brentano, and pole figure diffraction, Nomarsky optical microscopy and Scanning Electron Microscopy (SEM) analysis. The 123 composition was controlled during deposition by means of an atomic absorption system. The optimized buffer layer and YBCO layer are grown at 690/spl deg/C in respectively forming gas and oxygen partial pressures of 5/spl times/10/sup -5/ mbar. These conditions ensure the growth of dense and crack-free layers with good biaxial texture, as indicated by FWHM's values in the 5-7/spl deg/ range for both in- and out-of-plane orientations. Zero-resistance critical temperatures T/sub c/=86-87 K with transition widths /spl Delta/T/sub c/<3 K are reproducibly obtained. End-to-end critical current densities J/sub c/ at 77 K and self-field typically are in the 1.5-2.5 MA/cm/sup 2/ range, as measured by transport measurements. It is found that tape motion does not significantly affect these properties.",Yttrium barium copper oxide;Optical microscopy;Scanning electron microscopy;Conductive films;Superconducting films;Optical buffering;Buffer layers;Density measurement;Current measurement;Robustness;continuous deposition;thermal co-evaporation;YBCO,ARTICLE,2005,IEEE Transactions on Applied Superconductivity,10.1109/TASC.2005.847685
Grain boundaries in multi-seeded melt-grown superconductors,"Future applications of high temperature superconductors require bulk materials of a complex shape. The multi-seeded-melt-growth process (MSMG) represents a promising technique for obtaining qualitatively well oriented bulk materials with different kinds of shape. In the MSMG process, several seeds are placed on a precursor pellet, from which the growth of the bulk starts. A certain problem of the MSMG process is that grain boundaries become inevitable when the growth fronts of two neighboring seeds collide. These grain boundaries are responsible for a reduction of the critical currents and pose a problem for high current applications. By polishing the sample step by step, the influence of the grain boundaries was investigated by scanning Hall probe measurements and by the magnetoscan technique. Additionally, optical microscopy and electron microscopy were employed to investigate the details of the microstructure.",Grain boundaries;Superconductivity;Optical microscopy;High temperature superconductors;Superconducting materials;Shape;Electron microscopy;Critical current;Hall effect devices;Superconducting magnets;Grain boundaries;Hall probe measurements;MSMG,ARTICLE,2005,IEEE Transactions on Applied Superconductivity,10.1109/TASC.2005.848978
A computer-based system to analyze neuron images,"We present a system of analyzing microscopy neuron images and archiving image data and analyzed results. The system focuses on processing 3D neuron images and extracting features concerning dendrites and spines. To extract dendrite and spine features, we apply morphology analysis to identify dendrites at first. Based on detected dendrites, we use region-growing to detect spines, which are short protrusions attached to the dendrite. The system has been shown to help researchers to reduce time in analyzing neuron images.",Image analysis;Neurons;Data mining;Data analysis;Feature extraction;Optical microscopy;Image databases;Spatial databases;Pipelines;Image processing,INPROCEEDINGS,2005,2005 IEEE International Symposium on Circuits and Systems (ISCAS),10.1109/ISCAS.2005.1465563
Automated dynamic cellular analysis in high throughput drug screens,"To understand drug effects on cancer cells better, it is important to analyze cell nuclei dynamics from time-lapse fluorescence microscopy data. Existing methods, however, are rather limited in dealing with such time-lapse datasets while manual analysis is unreasonably time-consuming. We have therefore developed an automated system that can segment and track thousands of nuclei concurrently in time-lapse fluorescence microscopy data. Numerical nuclei features can be extracted based on our segmentation and tracking results. These features can be used for quantitative analysis of nuclei for high throughput drug screens.",Throughput;Drugs;Merging;Shape;Image segmentation;Microscopy;Image analysis;Fluorescence;Rendering (computer graphics);Large-scale systems,INPROCEEDINGS,2005,2005 IEEE International Symposium on Circuits and Systems (ISCAS),10.1109/ISCAS.2005.1465564
Spectroscopic ellipsometry and atomic force microscopy studies of RF sputtered Cd/sub 1-x/Mn/sub x/Te films,"Automatic spectroscopic ellipsometry (SE) with a 0.75 - 6.5 eV photon energy range was used together with atomic force microscopy to investigate surface optical and structural characteristics of as-deposited, annealed, and chloride treated Cd/sub 1-x/Mn/sub x/Te thin films. The E/sub 1/, E/sub 1/ + /spl Delta//sub 1/, and E/sub 2/ critical-point structures were clearly observed in the SE data for as-deposited samples. The variation of the pseudodielectric function for as-deposited samples was observed under different surface preparation and measurement conditions by in situ SE. The AFM images of the corresponding as-deposited samples revealed variations in surface morphology that were consistent with the SE results. For chloride treated samples, the pseudodielectric function was much different from that of as-deposited samples. This difference was due not only to oxidation of the surface, but also to a disruptive change of the bulk film under such annealing conditions.",Atomic force microscopy;Spectroscopy;Ellipsometry;Radio frequency;Surface morphology;Surface treatment;Atom optics;Optical microscopy;Optical films;Annealing,INPROCEEDINGS,2005,"Conference Record of the Thirty-first IEEE Photovoltaic Specialists Conference, 2005.",10.1109/PVSC.2005.1488174
Segmenting and tracking fluorescent cells in dynamic 3-D microscopy with coupled active surfaces,"Cell migrations and deformations play essential roles in biological processes, such as parasite invasion, immune response, embryonic development, and cancer. We describe a fully automatic segmentation and tracking method designed to enable quantitative analyses of cellular shape and motion from dynamic three-dimensional microscopy data. The method uses multiple active surfaces with or without edges, coupled by a penalty for overlaps, and a volume conservation constraint that improves outlining of cell/cell boundaries. Its main advantages are robustness to low signal-to-noise ratios and the ability to handle multiple cells that may touch, divide, enter, or leave the observation volume. We give quantitative validation results based on synthetic images and show two examples of applications to real biological data.",Fluorescence;Microscopy;Cells (biology);Biological processes;Immune system;Embryo;Cancer;Tracking;Design methodology;Shape;Active contours;cell biology;cell migration;deformable models;fluorescence;level sets;segmentation;three-dimensional (3-D);tracking,ARTICLE,2005,IEEE Transactions on Image Processing,10.1109/TIP.2005.852790
Pro or Cons local vs. global imagery information for identifying cell migratory potential,"Cell migration is a complex process involving adhesion, anchorage and de-adhesion. It is also a reliable indicator of the outcome of cancer. Can a migratory cell behavior be reliably associated to a cell morphology? In the favourable case, it could become a visual indicator when coupled with image analyzis. In this work, microscopy images is much use to characterize the morphology of cells placed in various environments. Features were processed and cells were classified taking into account the biological expertise. Linking these results to experimental parameters and in vitro data, we proposed to evaluate the cell migratory potential. The results give the expert new insights into the most useful features and show the feasability of an automated inspection system. A less common aspect is discussed throughout the paper regarding the relevance of the local (cell image) or global (whole image) information processing.",Correlation;Morphology;Feature extraction;Training;Computer architecture;Europe;Signal processing,INPROCEEDINGS,2007,2007 15th European Signal Processing Conference,
