PMID,title,Authors,Citation,First Author,Journal/Book,year,Create Date,PMCID,NIHMS ID,doi,abstract
15610232,"Quantitative morphometry of lupus nephritis: the significance of collagen, tubular space, and inflammatory infiltrate","Hunter MG, Hurwitz S, Bellamy CO, Duffield JS.",Kidney Int. 2005 Jan;67(1):94-102. doi: 10.1111/j.1523-1755.2005.00059.x.,Hunter MG,Kidney Int,2005,2004/12/22,,,10.1111/j.1523-1755.2005.00059.x,"BACKGROUND: Lupus nephritis encompasses a wide range of parenchymal injuries and severity. Better predictors of outcome are needed for patients newly diagnosed with lupus nephritis, so that an appropriate management strategy may be selected. METHODS: A single-center cohort of first renal biopsies for lupus nephritis was chosen. Histologic sections of whole biopsy cores were stained with picro-Sirius red, and light microscopic images (x100) were digitally captured. Using a simple, freely available software package, the cortex of each biopsy was evaluated for four different parameters: area occupied by nuclei, intratubular space, fibrillary collagen, and collagenous matrix. Clinical and laboratory data were collected retrospectively from the time of biopsy and throughout follow-up. RESULTS: A high nuclear index at initial biopsy correlated with clinical parameters of disease activity, at the time of biopsy. High collagen matrix index predicted both relapse and progression to end-stage renal disease (ESRD). The fibrillary collagen index predicted progressive disease as assessed by doubling of serum creatinine, and relapse. Increased tubular space also predicted progressive disease as determined by doubling of creatinine and renal death. CONCLUSION: A simple automated system for objectively scoring biopsies of lupus nephritis predicts renal survival and may provide a useful adjunct to guide patient management."
15653234,On the potential of the Lagrangian speckle model estimator to characterize atherosclerotic plaques in endovascular elastography: in vitro experiments using an excised human carotid artery,"Maurice RL, Brusseau E, Finet G, Cloutier G.",Ultrasound Med Biol. 2005 Jan;31(1):85-91. doi: 10.1016/j.ultrasmedbio.2004.07.009.,Maurice RL,Ultrasound Med Biol,2005,2005/01/18,,,10.1016/j.ultrasmedbio.2004.07.009,"Endovascular ultrasound (US) elastography (EVE) was introduced to supplement endovascular US echograms in the assessment of vessel lesions and for endovascular therapy planning. Indeed, changes in the vascular tissue stiffness are characteristic of vessel wall pathologies and EVE appears as a very appropriate imaging technique to outline the elastic properties of vessel walls. Recently, a model-based approach was proposed to assess tissue motion in EVE. It specifically consists of a nonlinear minimization algorithm that was adapted to speckle motion estimation. Regarding the theoretical framework, such an approach considers the speckle as a material property; this assumption then led to the derivation of the optical flow equations, which were suitably combined with the Lagrangian speckle model estimator to provide the full 2-D polar strain tensor. In this study, the proposed algorithm was validated in vitro using a fresh excised human carotid artery. The experimental setup consisted of a cardiovascular imaging system (CVIS) US scanner, working with a 30-MHz mechanical rotating single-element transducer, a digital oscilloscope and a pressuring system. A sequence of radiofrequency (RF) images was collected while incrementally adjusting the intraluminal static pressure steps. The results showed the potential of this 2-D algorithm to characterize and to distinguish an atherosclerotic plaque from the normal vascular tissue. Namely, the geometry as well as some mechanical characteristics of the detected plaque were in good agreement with histology. The results also suggested that there might exist a range of intraluminal pressures for which plaque detectability is optimal."
15667867,The dual 5-alpha-reductase inhibitor dutasteride induces atrophic changes and decreases relative cancer volume in human prostate,"Iczkowski KA, Qiu J, Qian J, Somerville MC, Rittmaster RS, Andriole GL, Bostwick DG.",Urology. 2005 Jan;65(1):76-82. doi: 10.1016/j.urology.2004.08.042.,Iczkowski KA,Urology,2005,2005/01/26,,,10.1016/j.urology.2004.08.042,"OBJECTIVES: To perform the first evaluation of the effects of the 5-alpha-reductase inhibitor class of drugs on cancer histopathologic features at radical prostatectomy in a placebo-controlled multicenter trial. METHODS: We analyzed prostatectomy slides in a blinded manner from 17 men treated with dutasteride, an inhibitor of types 1 and 2 isoenzymes of 5-alpha-reductase, and 18 men treated with placebo for 5 to 11 weeks before radical prostatectomy. The histopathologic features of benign epithelium, high-grade prostatic intraepithelial neoplasia, and cancer were recorded, and the treatment effect was scored. Digital imaging analysis was used to measure the stroma/epithelium ratio and epithelial height, as well as the nuclear area in cancer. RESULTS: In benign epithelium, treatment caused distinctive cytoarchitectural changes of atrophy and a decrease in the epithelial height (P = 0.053). The peripheral zone showed the most marked response to treatment. In cancer tissue, the tumor volume was significantly lower in the dutasteride-treated men than in the placebo-treated men (mean 15% versus 24%, respectively, P = 0.025), the percentage of atrophic epithelium was increased (P = 0.041), and the stroma/gland ratio was doubled (P = 0.046). The treatment alteration effect score was doubled (P = 0.055) and did not correlate with any Gleason score changes. CONCLUSIONS: After short-term dutasteride treatment, benign epithelium showed involution and epithelial shrinkage, and prostate cancer tissue demonstrated a decrease in epithelium relative to stroma. These findings indicate that dutasteride induces significant phenotypic alterations in both the benign and the neoplastic prostate, supportive of a chemopreventive or chemoactive role."
15816633,Color-doppler using contrast medium in evaluating the response to neoadjuvant treatment in patients with locally advanced breast carcinoma,"Vallone P, D'Angelo R, Filice S, Petrosino T, Rinaldo M, De Chiara A, Gallipoli A.",Anticancer Res. 2005 Jan-Feb;25(1B):595-9.,Vallone P,Anticancer Res,2005,2005/04/09,,,,"BACKGROUND: The aim of our study was to assess the color-Doppler ultrasound (CDU) pattern in the analysis of neoadjuvant preoperative treatment of patients with locally advanced breast carcinoma, improvement after injection of contrast medium (Levovist) and possible correlations between morphological and vascular aspects of the neoplasm and postoperative histopathological findings. MATERIALS AND METHODS: We studied 50 patients affected by locally advanced breast carcinoma (T3a e b-T4), using CDU before and after injection of Levovist, prior to and after neoadjuvant chemotherapeutic treatment. RESULTS: The use of Levovist for ultrasound examinations prior to treatment revealed a higher number of vascular signals in 94% of the lesions compared to the basic color-Doppler examination; in only 3 cases (6%) were no modifications observed after injection of the contrast medium. This finding was also evident after neoadjuvant treatment, as a greater number of vessels in 28 lesions were observed, in addition to residual vascularization in 9 patients in whom the basic color-Doppler examination demonstrated substantial avascularity. Histopathology revealed that this method was more sensitive in disclosing the presence of active neoplastic tissue. CONCLUSION: Color-Doppler ultrasound is the first step in assessing the efficacy of neochemotherapeutic treatment in patients affected by locally advanced breast carcinoma. Levovist increases sensitivity and improves the diagnostic precision, thus allowing for a better image of the vessels, which is an important index of the biological activity of the neoplasm, compared to the basic color-Doppler examination."
16055979,Reconstruction of human optic nerve heads for finite element modeling,"Sigal IA, Flanagan JG, Tertinegg I, Ethier CR.",Technol Health Care. 2005;13(4):313-29.,Sigal IA,Technol Health Care,2005,2005/08/02,,,,"PURPOSE: Glaucoma is a common ocular disease whose pathogenesis is hypothesized to involve biomechanical damage to optic nerve tissues. Here we describe a method for the construction of patient-specific models that can be used to evaluate the biomechanical environment within the optic nerve head. We validate the method using a virtual eye, and demonstrate its use in computing optic nerve head biomechanics. METHODS: Human eyes were imaged and the optic nerve head region was processed to allow serial plastic histologic sections to be cut. These sections were photographed, unwarped and aligned so as to reconstruct three-dimensional patient-specific models incorporating sclera, pre- and post-laminar nerve, lamina cribrosa, and pia mater. Deformations, stresses and strains were computed in the resulting model using finite element techniques. RESULTS: The approach successfully reconstructed patient-specific optic nerve head models. Reconstruction of a virtual eye showed excellent agreement between the true and reconstructed geometries, and between the deformations and strains computed on the true and reconstructed geometries. A sample reconstruction showed reasonable agreement between computed and measured retinal surface deformations. CONCLUSION: The technique presented here is viable and can be used to accurately compute human optic nerve head biomechanics."
16092667,Immunohistochemical analysis of the interstitial mast cells in rebiopsied patients with idiopathic mesangial proliferative glomerulonephritis,"Danilewicz M, Wagrowska-Danilewicz M.",Pol J Pathol. 2005;56(2):63-8.,Danilewicz M,Pol J Pathol,2005,2005/08/12,,,,"Recent evidence suggests a role for mast cells in the pathogenesis of renal scarring in various glomerulopathies, therefore the present study was undertaken to evaluate whether mast cells have a role in tubulointerstitial fibrosis in rebiopsied patients with idiopathic mesangial proliferative glomerulonephritis (MPG) and to examine a possible relationship between mast cells and interstitial alpha-smooth muscle actin (alpha-SMA) expression as well as interstitial infiltrates. Seventeen patients with idiopathic mesangial proliferative glomerulonephritis, in whom renal biopsies were repeated and for whom light and electron microscopy as well as immunofluorescence microscopy and full clinical data were available were examined quantitatively. Morphometric investigations were performed by means of a computer image analysis system. The study revealed that at the rebiopsy proteinuria was significantly lower as compared with the first biopsy. On the other hand, the mean values of the interstitial tryptase positive cells, expression of alpha-SMA, interstitial volume and CD68+ cells were at rebiopsy significantly increased. The mean values of CD45RB+, CD43+ and CD20+ cells did not differ significantly in these groups. In both initial biopsy and rebiopsy groups there were significant positive correlations between interstitial tryptase positive cells and interstitial expression of alpha-SMA, interstitial volume, and CD68+ cells. The present quantitative study may suggest that despite of the clinical improvement at rebiopsy, MPG is a progressive glomerular disease, and point to a role of mast cells in this process."
16308473,Multi-resolution wavelet-transformed image analysis of histological sections of breast carcinomas,"Hwang HG, Choi HJ, Lee BI, Yoon HK, Nam SH, Choi HK.",Cell Oncol. 2005;27(4):237-44. doi: 10.1155/2005/526083.,Hwang HG,Cell Oncol,2005,2005/11/26,PMC4615965,,10.1155/2005/526083,"Multi-resolution images of histological sections of breast cancer tissue were analyzed using texture features of Haar- and Daubechies transform wavelets. Tissue samples analyzed were from ductal regions of the breast and included benign ductal hyperplasia, ductal carcinoma in situ (DCIS), and invasive ductal carcinoma (CA). To assess the correlation between computerized image analysis and visual analysis by a pathologist, we created a two-step classification system based on feature extraction and classification. In the feature extraction step, we extracted texture features from wavelet-transformed images at 10x magnification. In the classification step, we applied two types of classifiers to the extracted features, namely a statistics-based multivariate (discriminant) analysis and a neural network. Using features from second-level Haar transform wavelet images in combination with discriminant analysis, we obtained classification accuracies of 96.67 and 87.78% for the training and testing set (90 images each), respectively. We conclude that the best classifier of carcinomas in histological sections of breast tissue are the texture features from the second-level Haar transform wavelet images used in a discriminant function."
16325509,A computer-assisted morphometric quantitative analysis of iron overload in liver biopsies. A comparison with histological and biochemical methods,"Ortega L, Ladero JM, Carreras MP, Alvarez T, Taxonera C, Oliván MP, Sanz-Esponera J, Díaz-Rubio M.",Pathol Res Pract. 2005;201(10):673-7. doi: 10.1016/j.prp.2005.07.002. Epub 2005 Sep 26.,Ortega L,Pathol Res Pract,2005,2005/12/06,,,10.1016/j.prp.2005.07.002,"The aim of this study was to evaluate a new method of image analysis used to quantify the iron load in routinely processed liver biopsies. Sixty-four liver biopsies from the same number of patients were studied. Both biochemical determination of iron concentration and histopathological semiquantification and quantification were performed. The latter was performed on Perls-stained liver sections by a semiautomatic system of image analysis that yields the percentage of stained liver tissue. In 43 samples with an hepatic iron content higher than 2000microg/mg of dry tissue, this morphometric index was compared to the liver iron load measured biochemically, showing a significant correlation (Spearman's test) between both variables (rho = 0.686, p<0.001). Moreover, there is a better correlation when the semiquantitative Deugnier's histological index is compared with the biochemical method (rho = 0.425, p<0.004). Thus, we conclude that image analysis may be a valid method to assess hepatic iron storage in patients with liver diseases and that it may be more accurate than semiquantitative grading systems, such as the one described by Deugnier, since the morphometric method shows a closer correlation with the hepatic iron concentration determined biochemically."
16435192,"A comparative study of cytoplasmic granules imaged by the real-time microscope, Nile Red and Filipin in fibroblasts from patients with lipid storage diseases","Pham NA, Gal MR, Bagshaw RD, Mohr AJ, Chue B, Richardson T, Callahan JW.",J Inherit Metab Dis. 2005;28(6):991-1004. doi: 10.1007/s10545-005-0117-7.,Pham NA,J Inherit Metab Dis,2005,2006/01/26,,,10.1007/s10545-005-0117-7,"Cytoplasmic granules in fibroblasts, visualized without stains, or labelled with Nile red, Filipin, or anti-LAMP-1 (lysosome-associated membrane protein 1), were imaged using the real-time microscope (RTM). New advances in light microscope technology were applied to detect cytoplasmic granules (RTM-visible granules) and characterize them by imaging contrast, size, shape, cellular distribution, composition, motion dynamics and quantity. Appearing as solid spheroids or ring structures, the majority of the RTM-visible granules contained Nile-red labelled neutral lipids. A smaller subpopulation, appearing dimmer, with less imaging contrast, contained Filipin-labelled free cholesterol. Most lipid storage granules have a diameter ranging from 0.3 mum to 0.6 mum, with a small population measuring up to 1 mum. They typically clustered in the perinuclear region and displayed relatively small oscillatory motion. Immunofluorescence based on LAMP-1 labelling highlighted granular structures that were distinct and separate from RTM-visible granules and other structures in the light modality of the microscope. RTM-visible granules were associated with disease phenotypes that have increased cellular neutral lipid stores corresponding to the Nile red-labelled droplets (e.g. triacylglycerides, cholesterol esters). As predicted, the fibroblast strains with a defect resulting in Wolman disease, when compared to control samples, consistently had RTM-visible granules, higher in imaging contrast and with larger diameters, that were labelled with Nile red, and also an increased frequency of Filipin-cholesterol complexes. By comparison, in fibroblasts where the lipid storage is less evident (Gaucher and Farber diseases) or from GM(1) gangliosidosis, where the primary storage substances are oligosaccharides, fewer and smaller RTM-visible granules were observed. In some cases, changes in contrast and morphology in the unstained cytoplasmic compartments were more evident than in the labelled structures. In summary, applying the RTM imaging system to fibroblasts enables differences between the various disease types to be seen and, in specific examples, a unique phenotype can be readily discerned."
16685913,Efficient learning by combining confidence-rated classifiers to incorporate unlabeled medical data,"He W, Huang X, Metaxas D, Ying X.",Med Image Comput Comput Assist Interv. 2005;8(Pt 1):745-52. doi: 10.1007/11566465_92.,He W,Med Image Comput Comput Assist Interv,2005,2006/05/12,,,10.1007/11566465_92,"In this paper, we propose a new dynamic learning framework that requires a small amount of labeled data in the beginning, then incrementally discovers informative unlabeled data to be hand-labeled and incorporates them into the training set to improve learning performance. This approach has great potential to reduce the training expense in many medical image analysis applications. The main contributions lie in a new strategy to combine confidence-rated classifiers learned on different feature sets and a robust way to evaluate the ""informativeness"" of each unlabeled example. Our framework is applied to the problem of classifying microscopic cell images. The experimental results show that 1) our strategy is more effective than simply multiplying the predicted probabilities, 2) the error rate of high-confidence predictions is much lower than the average error rate, and 3) hand-labeling informative examples with low-confidence predictions improves performance efficiently and the performance difference from hand-labeling all unlabeled data is very small."
