,title,year,doi
0,"hybrid segmentation, characterization and classification of basal cell nuclei from histopathological images of normal oral mucosa and oral submucous fibrosis",2012,10.1016/j.eswa.2011.07.107
1,statistical shape model for manifold regularization: gleason grading of prostate histology,2013,10.1016/j.cviu.2012.11.011
2,computer-aided evaluation of neuroblastoma on whole-slide histology images: classifying grade of neuroblastic differentiation,2009,10.1016/j.patcog.2008.10.035
3,visualizing in vivo brain neural structures using volume rendered feature spaces,2014,10.1016/j.compbiomed.2014.07.007
4,calculation of melatonin and resveratrol effects on steatosis hepatis using soft computing methods,2013,10.1016/j.cmpb.2013.04.020
5,prostate cancer grading,2012,10.1016/j.patrec.2011.10.001
6,texture measures combination for improved meningioma classification of histopathological images,2010,10.1016/j.patcog.2010.01.005
7,local binary patterns variants as texture descriptors for medical image analysis,2010,10.1016/j.artmed.2010.02.006
8,an evolutionary framework for detecting protein conformation defects,2014,10.1016/j.ins.2013.12.013
9,computer-aided prognosis of neuroblastoma on whole-slide images: classification of stromal development,2009,10.1016/j.patcog.2008.08.027
10,image-based classification of protein subcellular location patterns in human reproductive tissue by ensemble learning global and local features,2014,10.1016/j.neucom.2013.10.034
11,texture analysis of poly-adenylated mrna staining following global brain ischemia and reperfusion,2012,10.1016/j.cmpb.2011.03.005
12,creating realistic virtual textures from contact acceleration data,2012,10.1109/TOH.2011.38
13,a new automatic image analysis method for assessing estrogen receptors' status in breast tissue specimens,2013,10.1016/j.compbiomed.2013.10.018
14,an integrated aurora image retrieval system: auroraeye,2010,10.1016/j.jvcir.2010.06.002
15,automatic virus particle selection—the entropy approach,2013,10.1109/TIP.2013.2244216
16,quantitative measurement of aging using image texture entropy,2009,10.1093/bioinformatics/btp571
17,forensic detection of fraudulent alteration in ball-point pen strokes,2012,10.1109/TIFS.2011.2176119
18,special issue on computational science and engineering,2008,
20,a computer assisted method for leukocyte nucleus segmentation and recognition in blood smear images,2012,10.1016/j.jss.2012.04.012
21,breast cancer diagnosis from biopsy images with highly reliable random subspace classifier ensembles,2013,10.1007/s00138-012-0459-8
22,exhaustive comparison of colour texture features and classification methods to discriminate cells categories in histological images of fish ovary,2013,10.1016/j.patcog.2013.02.009
23,automated morphological classification of lung cancer subtypes using h&amp;e tissue images,2013,10.1007/s00138-012-0457-x
24,interactive histology of large-scale biomedical image stacks,2010,10.1109/TVCG.2010.168
25,the influence of target composition and thermal treatment on sputtered al thin films on si and sio2 substrates,2012,10.1016/j.mee.2012.02.048
26,automated analysis of protein subcellular location in time series images,2010,10.1093/bioinformatics/btq239
27,automatic coke microstructures recognition using image segmentation,2014,10.1504/IJCAT.2014.063908
28,characterization and impact of reduced copper plating overburden on 45nm interconnect performances,2010,10.1016/j.mee.2009.07.002
29,multiscale geometric modeling of macromolecules i,2014,
30,computer vision approach to morphometric feature analysis of basal cell nuclei for evaluating malignant potentiality of oral submucous fibrosis,2012,10.1007/s10916-010-9634-5
31,fast extraction of neuron morphologies from large-scale sbfsem image stacks,2011,10.1007/s10827-011-0316-1
32,physicochemical properties of gold nanostructures deposited on glass,2014,10.1155/2014/753853
33,object density-based image segmentation and its applications in biomedical image analysis,2009,10.1016/j.cmpb.2009.04.013
34,evaluation of machine learning techniques for prostate cancer diagnosis and gleason grading,2010,10.1504/IJCIBSB.2010.031392
35,automatic colposcopy video tissue classification using higher order entropy-based image registration,2011,10.1016/j.compbiomed.2011.07.010
36,effects of post-annealing on thermoelectric properties of bismuth-tellurium thin films deposited by co-sputtering,2011,10.1016/j.mee.2010.06.036
37,model-based 2.5-d deconvolution for extended depth of field in brightfield microscopy,2008,10.1109/TIP.2008.924393
38,multilevel space-time aggregation for bright field cell microscopy segmentation and tracking,2010,10.1155/2010/582760
39,towards a statistical theory of texture evolution in polycrystals,2008,10.1137/070692352
40,classification of hematologic malignancies using texton signatures,2007,
41,a microscopic information system (mis) for petrographic analysis,2010,10.1016/j.cageo.2009.09.017
42,fast and robust optical flow for time-lapse microscopy using super-voxels,2013,10.1093/bioinformatics/bts706
43,the semi-automated classification of sedimentary organic matter in palynological preparations,2005,10.1016/j.cageo.2005.03.011
44,in vitro hydroxyapatite-forming ability and antimicrobial properties of mesoporous bioactive glasses doped with ti/ag,2013,10.1155/2013/786420
45,"synthesis, structure, and luminescent properties of europium-doped hydroxyapatite nanocrystalline powders",2012,10.1155/2012/942801
46,an ensemble classifier system for early diagnosis of acute lymphoblastic leukemia in blood microscopic images,2014,10.1007/s00521-013-1438-3
47,metal nanoparticles supported on al-mcm-41 via in situ aqueous synthesis,2010,10.1155/2010/302898
48,effects of vr system fidelity on analyzing isosurface visualization of volume datasets,2014,10.1109/TVCG.2014.20
49,variational algorithms to remove stationary noise: applications to microscopy imaging,2012,10.1109/TIP.2012.2206037
50,segmentation of microscope images of living cells,2007,
51,morphology of zn/al layered double hydroxide nanosheets grown onto aluminum thin films,2014,10.1016/j.mee.2014.07.007
52,hydrothermal synthesis and hydrogen sensing properties of nanostructured sno2 with different morphologies,2014,10.1155/2014/291273
53,impact of features of control systems of the tunneling microscope on the measurement accuracy,2014,10.1134/S1064230714010079
54,image analysis of histological features in molar pregnancies,2013,10.1016/j.eswa.2013.06.034
